仕事,元工程,場所,主担当,手先用途,補助,保持引継ぎ,場面,未確定
D00,O00,供給位置,XYZ,H06 筐体,なし,パレットに支持を渡して開放,S01,許容把持面・重心・パレット受け位置・20枠の実寸・XYZ移動距離。
D01,O01,筐体外・準備,準備設備,入荷・加工範囲未定,設備側で別計上,加工後の支持先へ渡す,S02,入荷単位・全線の両端・線長・品番・加工条件・加工設備
D10,O10,筐体外・A,A主腕,H01 / H02,工具 T-A,締結・工具退避後に開放,S03,下板の固定点、機械固定と電力端子の区別、抵抗の写真対応
D11,O10,筐体外・A,A主腕,H04 / H05内側,共用補助※ / T-A,残る自由端の案内を継続,S03,線の両端・所属・共締め部材・同時に締める大小の点組
D12,O10,筐体外,A主腕,H06 下板用を比較,共用補助※ → C補助※,本体と自由端を別々に引継ぐ,S05,運搬用手先・許容把持面・自由端数・製品照合・支持付き待ち位置
D20,O20,筐体外・B,B主腕,H02 / H08,工具 T-B,締結・工具退避後に開放,S04,機械固定と電気共締めの区別、主ヒューズの所属、板の許容保持面
D21,O20,筐体外・B,B主腕,H04 / H05内側,共用補助※ / T-B,両端保持は同時把持・同時退避,S04,物理5ヒューズと系統の割当、線の両端、積層、両端保持が必要な対象
D22,O20,筐体外,B主腕,H07 板用を比較,共用補助※,Cの板保持・案内へ引継ぐ,S05,板搬送手先・自由端の支持と引継ぎ・待ち位置
D30,O30,筐体外・C,C主腕,H07 板用を比較,支持 F-C / 工具 T-C,板保持のまま工具を退避,S06,板間の支持形状・ねじ点・荷重経路・板保持面
D31,O30,筐体外・C,C主腕,H07 → H06 を比較,F-C / C補助※,支持を残して搬送把持へ,S07,接合部の荷重受容・搬送把持面・手先交換・自由端案内方法
D40,O40,外 → 内,C主腕,H06 ユニット用を比較,C補助※ / 筐体側受け,本体開放後も案内は継続,S08,受け面・把持解除と指の抜け・内寸・全自由端の経路
D42,O42,搭載後・内側,C主腕枠,対象・手先未特定,T-C / C補助※,対象不明を省略しない,S09,工具作業点・部材・点数・保持相手・所要時間
D45,O45,内 → 開口 → 外,C主腕,H05 内側,C補助※,外側で端末支持を引継ぐ,S10,線付きの通過空間・把持面・各端末順序・外側での一時支持・ロック順
D50,O50,搭載後・側壁両側,C主腕,H05 外側,T-C / 内側保持役※,全対象穴の締結・工具退避まで保持,S11,締付順・条件・工具全外形・内側ロックとフランジ固定の順・主2極/LV固定
D60,O60,搭載後・内側,C主腕,H03 / 補助H04候補。H08主ヒューズの工程は未確定,C補助 H04※ / T-C,他の自由端の担当も残す,S12,部品境界・共締め積層・接続点・大小の組・未接続端の引継ぎ
D61,O60,搭載後・位置要照合,C主腕,対象別に照合（元H05候補）。端末の内外位置は未確定,C補助※ / T-C※,個別の挿入・ロック後に引継ぐ,S13,実配線の両端・極・端子品番・挿入順・HVILの全経路
D70,O70,筐体上面,C主腕を比較,H07 カバー,T-C / 支持,検査との順・シール扱いは未定,S14,蓋・シール構成・保持面・工具点・検査との順序・所要時間
D71,O70,検査位置,検査設備,対象・接続方法未定,C主腕※,検査接続と支持を引継ぐ,S14,検査項目・条件・合否値・受入経路・支持と接続設備
D80,O80,共用20区画ストッカ,供給と同じXYZ,H06 筐体,なし,元の20枠の空き位置へ返す,S16,完成品の重心・許容把持面・空筐体用爪との共用・元枠の支持と収納空間。
D81,O80,搬送・供給位置,搬送・補給設備,容器の手先は未定,必要な手扱いは別計上,完成品を載せ同じ段で戻す,S02/S15,全体のパレット枚数・通行順、回収容器・補給単位・実施間隔・手扱いの設備境界。
