場面,開始秒,終了秒,仕事ID,作業場所,内容,表示の限界
INTRO,0,3,,全体,全体,概略表示
S01,3,10,D00,供給,20枠から空筐体をパレットへ,筐体を支持・位置決めしてからハンド開放
S02,10,14,"D01,D81",準備,線材・端末準備、部品・ボルト補給,入荷済み範囲、空容器回収の仕事を残す
S03,14,24,"D10,D11",外・A,下板部品の保持中固定・局所配線,接触器・リレー・抵抗等。自由端の案内を継続
S04,24,32,"D20,D21",外・B,補機ヒューズ板側の組付け・配線締結,板側締結を完了。反対端の接続は別に扱う
S05,32,44,"D12,D22",外・C入口,A/Bユニットと自由端を別々に受け渡す,案内役の占有と次の支持先を示す
S06,44,50,D30,外・C,板合わせ・保持中の板間ねじ固定,採用済み仮手順。実物の固定点は未確認
S07,50,55,D31,外・C,支持を残して搬送把持へ切り替える,支持F-Cと自由端案内を維持して持ち替える
S08,55,63,D40,外 → 内,まとめたユニットを筐体に搭載する,本体の支持引継ぎ後も自由端案内を続ける
S09,63,67,D42,内・C,搭載後の内部工具作業を別場面で示す,隠れたねじを追加せず、未特定箇所を表示
S10,67,75,D45,側壁・C,内側ハウジングと線を開口へ通す,通した後の外側支持を引き継ぐまで保持
S11,75,85,D50,側壁・C,外側ヘッダーの設置・ねじ固定,外側取得と内側保持を同じ手に重ねない
S12,85,93,D60,内・C,バスバー・丸端子等を保持して締結,導体と線を別に保持。主ヒューズは工程未確定
S13,93,97,D61,C・位置未定,残るLV/HVIL・不可視端末を別管理,未追跡の端末を、接続済みとして描かない
S14,97,103,"D70,D71",後工程,シール・蓋・必要検査を示す,内部の残接続を省かない。検査との順序は未定
S15,103,108,D81,同段復路,完成品を載せたパレットを供給側へ戻す,同じ高さ・経路を逆方向へ戻す
S16,108,116,D80,元の収納枠,同じXYZで元の空き枠へ完成品を戻す,XYZの保持確認後、パレット保持を解放
OUTRO,116,119,,全体,全体,概略表示
